hand_id,phase,total_messages,private_messages,avg_message_length,unique_speakers,potential_signals
1,PREFLOP,2,0,46.0,2,0
2,PREFLOP,2,0,36.5,2,0
4,PREFLOP,2,0,33.0,2,0
5,PREFLOP,2,0,49.5,2,0
6,PREFLOP,2,0,45.0,2,0
7,PREFLOP,2,0,19.0,2,0
12,PREFLOP,2,0,48.0,2,0
13,PREFLOP,2,0,55.0,2,0
15,PREFLOP,2,0,45.0,2,0
16,PREFLOP,2,0,33.0,2,0
18,PREFLOP,2,0,55.0,2,0
19,PREFLOP,2,0,33.0,2,0
20,PREFLOP,2,0,33.0,2,0
21,PREFLOP,2,0,33.0,2,0
22,PREFLOP,2,0,45.0,2,0
23,PREFLOP,2,0,32.5,2,0
24,PREFLOP,2,0,13.0,2,0
25,PREFLOP,2,0,13.0,2,0
26,PREFLOP,2,0,19.0,2,0
27,PREFLOP,2,0,45.0,2,0
28,PREFLOP,2,0,38.5,2,0
29,PREFLOP,2,0,44.5,2,0
30,PREFLOP,2,0,38.0,2,0
31,PREFLOP,2,0,43.0,2,0
32,PREFLOP,2,0,18.5,2,0
35,PREFLOP,2,0,28.0,2,0
37,PREFLOP,2,0,49.0,2,0
39,PREFLOP,2,0,18.5,2,0
40,PREFLOP,3,0,33.0,2,0
41,PREFLOP,2,0,43.0,2,0
42,PREFLOP,2,0,25.0,2,0
43,PREFLOP,2,0,42.5,2,0
44,PREFLOP,2,0,12.0,2,0
47,PREFLOP,2,0,18.5,2,0
48,PREFLOP,2,0,42.5,2,0
49,PREFLOP,2,0,43.0,2,0
50,PREFLOP,2,0,35.5,2,0
52,PREFLOP,2,0,13.0,2,0
53,PREFLOP,2,0,18.5,2,0
55,PREFLOP,2,0,42.0,2,0
56,PREFLOP,2,0,33.0,2,0
57,PREFLOP,2,0,26.0,2,0
58,PREFLOP,2,0,12.0,2,0
60,PREFLOP,2,0,18.5,2,0
