hand_id,phase,total_messages,private_messages,avg_message_length,unique_speakers,potential_signals
1,PREFLOP,2,0,13.0,2,0
3,PREFLOP,3,0,12.0,2,0
4,PREFLOP,2,0,12.0,2,0
5,PREFLOP,2,0,25.0,2,0
7,PREFLOP,2,0,18.0,2,0
8,PREFLOP,2,0,23.0,2,0
9,PREFLOP,2,0,26.0,2,0
10,PREFLOP,2,0,25.0,2,0
11,PREFLOP,2,0,12.0,2,0
12,PREFLOP,2,0,13.0,2,0
17,PREFLOP,2,0,25.0,2,0
18,PREFLOP,2,0,18.0,2,0
19,PREFLOP,2,0,12.0,2,0
20,PREFLOP,2,0,18.5,2,0
22,PREFLOP,2,0,43.5,2,0
23,PREFLOP,2,0,17.0,2,0
26,PREFLOP,1,0,43.0,1,0
27,PREFLOP,2,0,17.0,2,0
30,PREFLOP,2,0,18.0,2,0
31,PREFLOP,2,0,12.0,2,0
35,PREFLOP,2,0,12.0,2,0
37,PREFLOP,1,0,25.0,1,0
39,PREFLOP,2,0,18.5,2,0
40,PREFLOP,2,0,18.0,2,0
43,PREFLOP,2,0,25.0,2,0
47,PREFLOP,2,0,12.0,1,0
50,PREFLOP,2,0,19.0,2,0
51,PREFLOP,2,0,12.0,2,0
52,PREFLOP,1,0,22.0,1,0
53,PREFLOP,2,0,12.0,2,0
54,PREFLOP,2,0,17.0,2,0
55,PREFLOP,2,0,12.0,2,0
56,PREFLOP,2,0,49.5,2,0
57,PREFLOP,2,0,44.0,2,0
59,PREFLOP,2,0,18.5,2,0
