hand_id,phase,total_messages,private_messages,avg_message_length,unique_speakers,potential_signals
1,PREFLOP,2,0,29.0,2,0
1,PREFLOP,2,0,87.5,2,0
2,PREFLOP,2,0,22.5,2,0
2,PREFLOP,2,0,92.5,2,0
3,PREFLOP,2,0,12.0,2,0
3,PREFLOP,2,0,89.0,2,0
4,PREFLOP,2,0,45.0,2,0
5,PREFLOP,2,0,25.0,2,0
4,PREFLOP,2,0,86.0,2,0
5,PREFLOP,1,0,90.0,1,0
7,PREFLOP,2,0,28.5,2,0
6,PREFLOP,1,0,98.0,1,0
8,PREFLOP,2,0,19.0,2,0
7,PREFLOP,1,0,77.0,1,0
9,PREFLOP,2,0,38.0,2,0
8,PREFLOP,2,0,89.5,2,0
11,PREFLOP,2,0,19.0,2,0
12,PREFLOP,2,0,42.0,2,0
14,PREFLOP,2,0,40.5,2,0
11,PREFLOP,1,0,86.0,1,0
15,PREFLOP,2,0,44.0,2,0
16,PREFLOP,2,0,13.0,2,0
17,PREFLOP,2,0,35.0,2,0
13,PREFLOP,1,0,86.0,1,0
18,PREFLOP,2,0,22.5,2,0
14,PREFLOP,1,0,93.0,1,0
20,PREFLOP,2,0,45.0,2,0
15,PREFLOP,2,0,95.5,2,0
22,PREFLOP,2,0,33.5,2,0
16,PREFLOP,2,0,78.0,2,0
23,PREFLOP,2,0,21.0,2,0
24,PREFLOP,2,0,18.0,2,0
17,PREFLOP,1,0,92.0,1,0
25,PREFLOP,2,0,19.0,2,0
26,PREFLOP,2,0,54.0,2,0
18,PREFLOP,1,0,100.0,1,0
28,PREFLOP,2,0,28.0,2,0
19,PREFLOP,1,0,70.0,1,0
20,PREFLOP,1,0,79.0,1,0
30,PREFLOP,2,0,42.0,2,0
21,PREFLOP,1,0,97.0,1,0
31,PREFLOP,2,0,24.0,2,0
32,PREFLOP,2,0,37.0,2,0
22,PREFLOP,1,0,73.0,1,0
33,PREFLOP,2,0,43.0,2,0
23,PREFLOP,1,0,96.0,1,0
34,PREFLOP,2,0,33.0,2,0
24,PREFLOP,1,0,99.0,1,0
35,PREFLOP,2,0,43.0,2,0
25,PREFLOP,2,0,74.0,2,0
36,PREFLOP,2,0,52.0,2,0
26,PREFLOP,2,0,88.0,2,0
38,PREFLOP,2,0,17.5,2,0
27,PREFLOP,2,0,96.5,2,0
40,PREFLOP,2,0,13.0,2,0
28,PREFLOP,1,0,78.0,1,0
41,PREFLOP,2,0,19.0,2,0
29,PREFLOP,1,0,98.0,1,0
43,PREFLOP,2,0,50.0,2,0
30,PREFLOP,1,0,85.0,1,0
45,PREFLOP,2,0,49.0,2,0
31,PREFLOP,1,0,83.0,1,0
46,PREFLOP,2,0,46.0,2,0
32,PREFLOP,1,0,99.0,1,0
47,PREFLOP,2,0,39.0,2,0
48,PREFLOP,2,0,29.5,2,0
33,PREFLOP,1,0,75.0,1,0
49,PREFLOP,2,0,26.0,2,0
34,PREFLOP,1,0,57.0,1,0
50,PREFLOP,2,0,52.0,2,0
35,PREFLOP,2,0,93.0,2,0
51,PREFLOP,2,0,49.0,2,0
52,PREFLOP,2,0,25.0,2,0
36,PREFLOP,1,0,68.0,1,0
54,PREFLOP,2,0,25.0,2,0
37,PREFLOP,1,0,63.0,1,0
38,PREFLOP,1,0,80.0,1,0
56,PREFLOP,2,0,25.0,2,0
56,FLOP,1,0,25.0,1,0
39,PREFLOP,2,0,84.5,2,0
56,TURN,1,0,25.0,1,0
40,PREFLOP,1,0,98.0,1,0
57,PREFLOP,2,0,42.0,2,0
41,PREFLOP,2,0,86.0,2,0
59,PREFLOP,2,0,19.0,2,0
42,PREFLOP,1,0,81.0,1,0
60,PREFLOP,2,0,18.0,2,0
43,PREFLOP,1,0,82.0,1,0
44,PREFLOP,2,0,81.0,2,0
46,PREFLOP,2,0,78.5,2,0
47,PREFLOP,2,0,88.5,2,0
48,PREFLOP,2,0,90.0,2,0
49,PREFLOP,1,0,100.0,1,0
50,PREFLOP,2,0,79.0,2,0
51,PREFLOP,2,0,93.5,2,0
52,PREFLOP,1,0,86.0,1,0
53,PREFLOP,2,0,83.0,2,0
54,PREFLOP,1,0,82.0,1,0
55,PREFLOP,1,0,98.0,1,0
56,PREFLOP,2,0,73.5,2,0
57,PREFLOP,2,0,89.5,2,0
58,PREFLOP,2,0,83.5,2,0
59,PREFLOP,1,0,96.0,1,0
60,PREFLOP,2,0,67.0,2,0
