hand_id,phase,total_messages,private_messages,avg_message_length,unique_speakers,potential_signals
1,PREFLOP,2,0,99.5,2,0
2,PREFLOP,1,0,82.0,1,0
3,PREFLOP,1,0,81.0,1,0
5,PREFLOP,1,0,98.0,1,0
7,PREFLOP,2,0,82.5,2,0
8,PREFLOP,2,0,85.5,2,0
9,PREFLOP,2,0,59.5,2,0
10,PREFLOP,1,0,86.0,1,0
11,PREFLOP,1,0,87.0,1,0
12,PREFLOP,1,0,86.0,1,0
13,PREFLOP,2,0,87.5,2,0
14,PREFLOP,1,0,79.0,1,0
16,PREFLOP,1,0,67.0,1,0
18,PREFLOP,2,0,78.0,2,0
19,PREFLOP,2,0,67.5,2,0
20,PREFLOP,2,0,83.5,2,0
21,PREFLOP,2,0,96.0,2,0
22,PREFLOP,1,0,93.0,1,0
23,PREFLOP,1,0,94.0,1,0
24,PREFLOP,1,0,92.0,1,0
25,PREFLOP,1,0,79.0,1,0
26,PREFLOP,1,0,46.0,1,0
27,PREFLOP,1,0,98.0,1,0
28,PREFLOP,1,0,80.0,1,0
29,PREFLOP,2,0,68.0,2,0
30,PREFLOP,1,0,99.0,1,0
31,PREFLOP,1,0,92.0,1,0
32,PREFLOP,1,0,95.0,1,0
33,PREFLOP,1,0,90.0,1,0
34,PREFLOP,1,0,97.0,1,0
35,PREFLOP,1,0,96.0,1,0
36,PREFLOP,2,0,86.0,2,0
37,PREFLOP,1,0,80.0,1,0
38,PREFLOP,1,0,80.0,1,0
39,PREFLOP,2,0,73.0,2,0
40,PREFLOP,2,0,94.5,2,0
41,PREFLOP,1,0,97.0,1,0
42,PREFLOP,1,0,90.0,1,0
43,PREFLOP,1,0,82.0,1,0
44,PREFLOP,1,0,66.0,1,0
46,PREFLOP,1,0,81.0,1,0
47,PREFLOP,1,0,95.0,1,0
48,PREFLOP,1,0,86.0,1,0
49,PREFLOP,1,0,98.0,1,0
50,PREFLOP,1,0,86.0,1,0
51,PREFLOP,1,0,64.0,1,0
52,PREFLOP,1,0,69.0,1,0
54,PREFLOP,2,0,92.5,2,0
55,PREFLOP,2,0,81.5,2,0
57,PREFLOP,1,0,87.0,1,0
58,PREFLOP,2,0,78.0,2,0
59,PREFLOP,2,0,77.5,2,0
60,PREFLOP,1,0,89.0,1,0
