hand_id,phase,total_messages,private_messages,avg_message_length,unique_speakers,potential_signals
9,PREFLOP,2,0,33.0,2,0
17,PREFLOP,1,0,12.0,1,0
36,PREFLOP,2,0,42.0,2,0
41,PREFLOP,4,0,26.25,2,0
42,PREFLOP,2,0,32.5,2,0
43,PREFLOP,2,0,17.5,2,0
45,PREFLOP,2,0,18.0,2,0
47,PREFLOP,1,0,12.0,1,0
48,PREFLOP,2,0,42.0,2,0
49,PREFLOP,2,0,13.0,2,0
50,PREFLOP,2,0,33.0,2,0
52,PREFLOP,2,0,53.0,2,0
53,PREFLOP,1,0,47.0,1,0
54,PREFLOP,2,0,25.0,2,0
55,PREFLOP,2,0,34.5,2,0
56,PREFLOP,2,0,12.0,2,0
58,PREFLOP,2,0,19.0,2,0
