hand_id,phase,total_messages,private_messages,avg_message_length,unique_speakers,potential_signals
1,PREFLOP,2,0,50.0,2,0
2,PREFLOP,2,0,24.5,2,0
3,PREFLOP,2,0,25.0,2,0
4,PREFLOP,2,0,46.5,2,0
6,PREFLOP,2,0,39.5,2,0
7,PREFLOP,2,0,42.0,2,0
8,PREFLOP,2,0,45.0,2,0
11,PREFLOP,2,0,18.5,2,0
13,PREFLOP,2,0,48.0,2,0
15,PREFLOP,2,0,25.0,2,0
18,PREFLOP,2,0,42.0,2,0
19,PREFLOP,2,0,47.0,2,0
20,PREFLOP,2,0,25.0,2,0
21,PREFLOP,2,0,44.0,2,0
25,PREFLOP,2,0,57.0,2,0
35,PREFLOP,1,0,12.0,1,0
38,PREFLOP,2,0,50.5,2,0
39,PREFLOP,2,0,26.0,2,0
49,PREFLOP,2,0,33.0,2,0
54,PREFLOP,2,0,19.0,2,0
